repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics
borchero,terraform-plan-comment,deployment,596,0,1,5,0,6," cwe-1333,  cwe-327,  cwe-328,  cwe-367,  cwe-79, cwe-020",6.0,16,2,7,13,4,91,4,559,30,14,24,3,559000,15," terraform, github-actions"
brown-ccv,alex-recommends,code review,363,0,3,12,1,16," cwe-1321,  cwe-1333,  cwe-173,  cwe-400,  cwe-697,  cwe-74,  n/a, cwe-020",16.0,23,12,6,3,4,28,6,1178,26,14,21,11,1178000,10,nan
chf007,action-wechat-work,chat,10,0,3,0,0,3," cwe-200,  cwe-352, cwe-20",3.0,30,3,9,16,2,36,3,863,17,3,10,2,863000,10," actions,  chat,  github,  wechat,  wechat-work, action"
chrisdickinson,setup-yq,utilities,8,0,1,1,0,2," cwe-74, cwe-1333",2.0,21,1,1,21,4,28,4,44,14,3,7,1,44000,9,nan
cloudflare,pages-action,deployment,44,4,5,3,0,12," cwe-1333,  cwe-200,  cwe-284,  cwe-367,  cwe-74, cwe-020",12.0,30,2,8,99,14,472,17,263,30,17,30,0,263000,10,nan
codfish,semantic-release-action,deployment,532,1,2,4,0,7," cwe-400,  cwe-918, cwe-1333",7.0,30,5,29,20,3,114,9,682,30,3,30,0,682000,12," ci-cd,  github-actions,  semantic-release,  semantic-versioning, actions"
corymhall,cdk-diff-action,continuous integration,845,0,71,3,0,74," cwe-080,  cwe-116, cwe-020",74.0,30,4,30,10,1,47,5,99746,30,8,30,1,99746000,10,nan
crazy-max,ghaction-import-gpg,security,574,0,0,12,0,12," cwe-080,  cwe-116,  cwe-1333,  cwe-918, cwe-020",12.0,30,10,30,79,6,330,9,8345,30,12,30,5,8345000,17," git,  github-actions,  gnupg,  gnupg2,  openpgp,  signing, actions"
crazy-max,ghaction-setup-containerd,utilities,590,0,0,5,0,5," cwe-1333,  cwe-918, cwe-020",5.0,30,8,11,1,3,18,3,5091,30,7,30,5,5091000,19," containerd,  github-actions, actions"
crazy-max,ghaction-upx,deployment,577,0,1,3,0,4," cwe-078,  cwe-088,  cwe-1333,  cwe-918, cwe-020",4.0,30,6,16,3,3,56,5,11377,30,4,30,4,11377000,17," github-actions,  upx, actions"
crazyurus,miniprogram-action,deployment,934,0,8,12,2,22," cwe-1333,  cwe-184,  cwe-200,  cwe-312,  cwe-359,  cwe-400,  cwe-532,  cwe-74,  cwe-835,  cwe-918,  n/a, cwe-1321",22.0,13,1,2,9,1,14,1,160,6,3,1,0,160000,9," miniprogram, github-actions"
dailydotdev,action-devcard,utilities,190,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,4,14,15,4,98,9,12119,30,5,30,3,12119000,21," hacktoberfest, github-action"
danielpalme,reportgenerator-github-action,testing,9,0,0,0,0,0,nan,0.0,30,1,30,7,2,74,3,472,21,0,6,0,472000,10,nan
darenm,setup-vstest,testing,33,0,0,2,0,2," cwe-1333, cwe-020",2.0,30,8,5,8,2,24,4,3776,29,4,23,4,3776000,10," deprecated,  obsolete, archived"
