repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,commit_count,issue_count,network_count,subscribers_count,languages,lang_javascript,lang_typescript,lang_shell,lang_dockerfile,lang_python,lang_mustache,lang_handlebars,lang_html,lang_kotlin,lang_powershell,lang_makefile,lang_smarty,lang_cmake,lang_cplusplus,lang_ruby,lang_vue,lang_css,lang_swift,lang_rust,lang_hcl,lang_batchfile,lang_c#,lang_dart,lang_julia,lang_odin,lang_java,lang_nix,lang_objective_c,lang_jinja,lang_nunjucks,lang_jq,lang_php,lang_agda,lang_lua
scribemd,docker-cache,utilities,575,20.0,4,26,28,1,105,4,50542,30,14,30,6,50542000,2,Cache Docker Images Whether Built or Pulled,TypeScript,MIT License,False,True,107.0,809,831.0,28.0,1.0,"['TypeScript', 'Dockerfile']",,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sethcohen,github-releases-to-discord,deployment,35,2.0,1,26,9,2,29,7,1232,30,1,30,0,1232000,0,Posts a GitHub Release changelog to a specified Discord channel,JavaScript,MIT License,False,False,29.0,117,45.0,9.0,2.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simonscholz,google-chat-action,chat,38,1.0,7,2,5,2,19,2,981,30,7,30,6,981000,0,GitHub Action to send notifications to a google chat using the cards v2 syntax,TypeScript,Apache License 2.0,False,False,20.0,59,161.0,5.0,2.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spectralops,spectral-github-action,security,12,3.0,3,5,9,3,14,8,199,15,1,10,1,199000,1,Spectral Security Integration into your Github Actions pipeline,JavaScript,MIT License,False,False,14.0,28,15.0,9.0,3.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svanboxel,zaproxy-to-ghas,testing,25,4.0,2,3,4,3,16,4,326,30,6,30,2,326000,1,Present ZAProxy results in GitHub Advanced Security ,TypeScript,MIT License,True,False,16.0,58,44.0,4.0,3.0,"['TypeScript', 'JavaScript']",1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
themrmilchmann,setup-msvc-dev,utilities,133,1.0,5,7,2,3,15,3,241025,30,1,30,1,241025000,0,Github Action to set up a Developer Command Prompt for Microsoft Visual C++,TypeScript,MIT License,False,True,15.0,359,293.0,2.0,3.0,['TypeScript'],,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timdaub,hetzner-cloud-deploy-server-action,deployment,5,3.0,1,1,14,6,33,2,92,19,7,3,0,92000,1,Deploy a Hetzner Cloud Server from a GitHub Action.,JavaScript,GNU General Public License v3.0,False,False,33.0,57,19.0,14.0,6.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinkurlab,issue-labeler-action,project management,26,0.0,4,10,2,2,12,2,1008,30,4,30,2,1008000,0,🏷 A GitHub Action that adds labels to an issue based on a string in the issue description.,JavaScript,ISC License,False,True,12.0,63,32.0,2.0,2.0,"['JavaScript', 'Dockerfile', 'Shell']",1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tinkurlab,monorepo-pr-labeler-action,code review,28,3.0,4,15,14,4,99,8,618,30,7,30,3,618000,1,🚊 A GitHub Action that labels PRs with the repo(s) impacted in a monorepo.,JavaScript,ISC License,False,True,99.0,126,64.0,14.0,4.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tryghost,action-deploy-theme,deployment,420,1.0,2,14,47,14,363,15,1104,30,6,30,2,1104000,0,:octocat: Deploy your Ghost theme with Github Actions,JavaScript,MIT License,True,True,366.0,386,108.0,47.0,14.0,['JavaScript'],1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
