repo_owner,repo_name,Category,Number of Components,vulnerability-proneness-all,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,vp-category-equalfreq
google-github-actions,deploy-cloudrun,deployment,92,4.0,3,30,120,11,490,16,4550,30,6,30,1,4550000,1
google-github-actions,get-gke-credentials,deployment,43,4.0,3,24,39,5,108,9,3828,30,1,30,0,3828000,1
google-github-actions,upload-cloud-storage,deployment,106,6.0,3,30,51,11,233,11,7540,30,0,30,0,7540000,1
grassedge,git-pr-release-action,deployment,431,43.0,16,1,9,1,15,1,1819,24,20,20,16,1819000,2
h5bp,server-configs-test,testing,177,1.0,2,30,17,6,42,4,5584,30,0,30,0,5584000,0
jimmygchen,runner-fallback-action,utilities,14,1.0,9,2,7,4,21,4,291,27,6,27,6,291000,0
jitterbit,get-changed-files,utilities,653,41.0,15,1,145,5,230,2,408,30,50,30,20,408000,2
joao-zanutto,get-selected,utilities,38,2.0,4,3,0,1,18,1,412,16,4,14,3,412000,0
jontze,action-mdbook,deployment,801,2.0,3,13,3,1,14,4,3379,30,4,30,1,3379000,0
jpb06,jest-badges-action,testing,673,12.0,3,30,19,2,35,3,1600,30,0,30,0,1600000,2
julia-actions,registeraction,publishing,22,3.0,1,7,4,3,17,1,869,13,6,5,1,869000,1
julia-actions,install-juliaup,continuous integration,41,0.0,5,13,2,2,17,2,1031,30,9,30,4,1031000,0
jwgmeligmeyling,pmd-github-action,security,70,7.0,12,2,9,2,13,2,1040,30,16,30,6,1040000,2
kamilkisiela,bob,continuous integration,541,17.0,10,23,12,7,48,13,1310,30,19,30,1,1310000,2
kanadgupta,glitch-sync,deployment,5,0.0,1,7,19,1,45,2,1113,30,0,30,0,1113000,0
kanga333,variable-mapper,utilities,18,1.0,2,6,34,4,44,3,796,30,7,30,2,796000,0
kevin-david,zipalign-sign-android-release,publishing,17,0.0,3,4,9,2,23,10,41894,23,1,23,1,41894000,0
kiegroup,git-backporting,continuous integration,68,14.0,1,27,9,2,19,8,2487,30,10,30,0,2487000,2
kiegroup,github-action-build-chain,utilities,103,13.0,11,30,25,5,86,11,5426,30,28,30,1,5426000,2
